//Index	Message
0	"Tahoma"
1	"Aviso!!! Tentativas contínuas de hacking resultarão em banimento permanente da conta!!"
2	"O arquivo FindHack está danificado. Reinstale o cliente do MU."
3	"Você foi desconectado do servidor."
4	"Instale o driver mais recente da placa de vídeo."
5	"[error1] O teste de hacking ou vírus de computador não foi concluído. É necessário o V3 ou Birobot da Hawoori Corp. para concluir o"
6	"[error2] O programa de verificação de ferramentas de hacking não foi baixado corretamente. Tente conectar novamente daqui a pouco. \n\n I"
7	"[error3] Erro de registro do NPX.DLL, arquivos necessários para executar o nProtect estão ausentes. Baixe o np_setup.exe do Muonline"
8	"[error4] Ocorreu um erro no programa. \n\n Se o problema continuar, entre em contato com nosso atendimento ao cliente"
9	"[error5] O usuário selecionou o botão de sair."
10	"[error6] Erro nº %d!!! O Findhack.zip precisa estar instalado na pasta do MU."
11	"Erro de dados"
12	"[error7] Alguns arquivos relacionados ao FindHack estão ausentes. Instale o findhack.exe do Muonline."
13	"A atualização falhou. Reinicie o jogo."
14	"O jogo será reiniciado agora para concluir a atualização."
15	"[error8] Falha ao conectar ao servidor de atualização do FindHack. Se o problema continuar, instale o findhack.exe do Muonline.c"
16	"[error9] Uma ferramenta de hacking foi encontrada. Se você não estiver usando uma ferramenta de hacking, entre em contato com nosso atendimento ao cliente pelo nosso site"
17	""
18	"Gulim"
19	""
20	"Mago Negro"
21	"Cavaleiro Negro"
22	"Elfa"
23	"Gladiador Mágico"
24	"Mestre das Almas"
25	"Cavaleiro das Lâminas"
26	"Elfa Muse"
27	""
28	"Reserva : Classe"
29	"Reserva : Classe"
30	"Lorencia"
31	"Calabouço"
32	"Devias"
33	"Noria"
34	"Torre Perdida"
35	"DareDevil"
36	"Estádio"
37	"Atlans"
38	"Tarkan"
39	"Devil Square"
40	"Dano de Uma Mão"
41	"Dano de Duas Mãos"
42	"Dano Mágico"
43	"Muito Lento"
44	"Lento"
45	"Normal"
46	"Rápido"
47	"Muito Rápido"
48	"Gelo"
49	"Veneno"
50	"Raio"
51	"Fogo"
52	""
53	""
54	""
55	"Icarus"
56	"Castelo de Sangue"
57	""
58	""
59	""
60	"Não pode ser equipado por %s"
61	"Pode ser equipado por %s"
62	"Preço de compra: %s"
63	"Preço de venda: %s"
64	"Velocidade de ataque: %d"
65	"Defesa: %d"
66	"Resistência a magia: %d"
67	"Taxa de defesa: %d"
68	"Velocidade de movimento: %d"
69	"Quantidade de itens: %d"
70	"Vida: %d"
71	"Durabilidade: [%d/%d]"
72	"Resistência a %s: %d"
73	"Requisito de Força: %d"
74	"(faltando %d)"
75	"Requisito de Agilidade: %d"
76	"Requisito de Nível: %d"
77	"Energia disponível: %d"
78	"Aumenta a velocidade de movimento"
79	"Aumento do Dano Mágico em %d%%"
80	"Habilidade Defesa (Mana:%d)"
81	"Habilidade Golpe Descendente (Mana:%d)"
82	"Habilidade Estocada (Mana:%d)"
83	"Habilidade Golpe Ascendente (Mana:%d)"
84	"Habilidade Corte Ciclone (Mana:%d)"
85	"Habilidade Corte (Mana:%d)"
86	"Habilidade Tiro Triplo (Mana:%d)"
87	"Sorte (taxa de sucesso da Joia da Alma +25%%)"
88	"Dano adicional +%d"
89	"Dano Mágico adicional +%d"
90	"Taxa de defesa adicional +%d%%"
91	"Defesa adicional +%d"
92	"Recuperação automática de HP %d%%"
93	"Aumento da velocidade de natação"
94	"Sorte (taxa de dano crítico +5%%)"
95	"Durabilidade: [%d]"
96	"Só pode ser usado em unidades móveis"
97	"Poder da habilidade: %d ~ %d"
98	"Habilidade Golpe Poderoso (Mana:%d)"
99	"Combo"
100	"Zen"
101	"Coração"
102	"Joia"
103	"Anel de Transformação"
104	"Certificado de Presente do Evento Chaos"
105	"Estrela do Nascimento Sagrado"
106	"Fogos de Artifício"
107	"Coração do Amor"
108	"Oliva do Amor"
109	"Medalha de Prata"
110	"Medalha de Ouro"
111	"Caixa do Céu"
112	"Quando você a jogar no chão,"
113	"[Rena/Zen/Joia/Item]"
114	"você receberá um dos itens acima."
115	"Caixa de Kundun"
116	""
117	""
118	""
119	"Você pode registrá-lo entregando-o ao NPC"
120	"Funções das Teclas"
121	"F1 : Ajuda Ligada/Desligada"
122	"F2 : Janela de chat ligada/desligada"
123	"F3 : Janela do modo sussurro ligada/desligada"
124	"F4 : Ajustar tamanho da janela de chat"
125	"Enter: Modo de conversa"
126	"C : Informações do Personagem"
127	"I,V : Inventário"
128	"P : Janela do Grupo"
129	"G : Janela da Guilda"
130	"Q : Usar Poção de Vida"
131	"W : Usar Poção de Mana"
132	"E : Usar Antídoto"
133	"Shift: Tecla de bloqueio do personagem"
134	"Ctrl+Num: Definir teclas de atalho para habilidades"
135	"Num: Usar teclas de atalho das habilidades"
136	"Alt: Mostrar itens derrubados"
137	"Alt+itens: Selecionar itens na ordem principal"
138	"Ctrl+Clique: Modo PvP, atacar outros jogadores"
139	"Print Screen: Salvar capturas de tela"
140	"Instruções de Chat"
141	"Tab: alternar para a janela de ID"
142	"Clique direito na mensagem: ID do sussurro"
143	"Cima/Baixo: Ver histórico do chat"
144	"PageUP, PageDN: Rolar mensagem"
145	"~ <msg>: Mensagem para membros do grupo"
146	"@ <msg>: Mensagem para membros da guilda"
147	"@> <msg>: Publicar para membros da guilda"
148	"# <msg>: Fazer a mensagem aparecer por mais tempo"
149	"/trade(apontando para o jogador): negociar"
150	"/party(apontando para o jogador): formar um grupo"
151	"/guild(apontando para o jogador): formar uma guilda"
152	"/war <nome da guilda>: Declarar Guerra de Guildas"
153	"/<nome do item>: informações do item"
154	"/move <mundo>: Mover para outro mundo"
155	""
156	""
157	""
158	""
159	""
160	"Informações do item"
161	"Nível"
162	"Dano"
163	"Dano Mágico"
164	"Defesa"
165	"Taxa de Defesa"
166	"Força"
167	"Agilidade"
168	"Energia"
169	"Vitalidade"
170	"Dano Mágico:%d~%d"
171	"Cura: %d"
172	"Aumento da Capacidade Defensiva: %d"
173	"Aumento da Capacidade Ofensiva: %d"
174	"Alcance: %d"
175	"Mana: %d"
176	"+Habilidade"
177	"+Opção"
178	"+Sorte"
179	"Habilidade específica de Cavaleiro"
180	"Guilda"
181	"Você deseja ser o mestre da guilda?"
182	"Nome"
183	"Depois de selecionar uma cor com"
184	"o mouse, desenhe."
185	"Digite /guild em frente ao"
186	"mestre da guilda à qual deseja entrar"
187	"e você poderá entrar na guilda."
188	"Dissolver"
189	"Sair"
190	"Grupo"
191	"Digite /party com o cursor do mouse sobre"
192	"o jogador com quem você gostaria"
193	"de criar um grupo"
194	"e você poderá criar"
195	"um grupo com ele."
196	"Você pode compartilhar mais EXP com"
197	"os membros do seu grupo com base no nível."
198	"Custo"
199	"Pontos disponíveis: %d / %d"
200	"Nível: %d"
201	"EXP: %u/%u"
202	"Força: %d"
203	"Dano(taxa): %d~%d (%d)"
204	"Dano: %d~%d"
205	"Agilidade: %d"
206	"Def(taxa): %d (%d +%d)"
207	"Defesa: %d (+%d)"
208	"Defesa (taxa):%d (%d)"
209	"Defesa: %d"
210	"Vitalidade: %d"
211	"HP: %u / %u"
212	"Energia: %d"
213	"Mana: %u / %u"
214	"AG: %u / %u"
215	"Dano Mágico: %d~%d (+%d)"
216	"Dano Mágico: %d~%d"
217	"Pontos: %u"
218	"Explicação"
219	"[Zen disponível para ser trocado por Rena]"
220	"Fechar Janela da Guilda (G)"
221	"Fechar Janela do Grupo (P)"
222	"Fechar Janela de Informações do Personagem (C)"
223	"Inventário"
224	"Zen"
225	"Fechar (I,V)"
226	"Troca"
227	"Troca de Zen"
228	"OK"
229	"Cancelar"
230	"Comerciante"
231	"Comprar (B)"
232	"Vender (S)"
233	"Reparar (R)"
234	"Armazém"
235	"Depositar"
236	"Retirar"
237	"Reparar tudo (A)"
238	"Custo do reparo: %s"
239	"Reparar tudo"
240	"abrir"
241	"fechar"
242	"Bloquear/Desbloquear Armazém"
243	"Registrando Rena"
244	"Selecionando número da sorte"
245	"Quantidade de Rena coletada"
246	"Quantidade de Rena registrada"
247	"Número da sorte"
248	"/Battle"
249	"/Battle Soccer"
250	"Flechas recarregadas"
251	"Não há mais flechas"
252	"O armazém deve estar fechado para teleportar"
253	"Seu nível deve ser superior a %d para teleportar"
254	"/guild"
255	"Você já está em uma guilda"
256	"/party"
257	"Você já está em um grupo"
258	"/exchange"
259	"/trade"
260	"/move"
261	"Você não pode ir para Atlans enquanto estiver montado em um Uniria"
262	"Você só pode entrar em Atlans após entrar em um grupo."
263	"Você só pode entrar em Icarus com asas ou Dinorant"
264	"/whisper off"
265	"/whisper on"
266	"Taxa do armazém"
267	"A função de sussurro está desligada"
268	"A função de sussurro está ligada"
269	"Você não pode derrubar este item caro"
270	"Olá"
271	"Oi"
272	"Bem-vindo"
273	"Bem-vindo"
274	"Obrigado"
275	"Obrigado"
276	"Obrigado"
277	"Obrigado"
278	"Aproveite o jogo"
279	"Tchau"
280	"tchau"
281	"Bom"
282	"Bom"
283	"Uau"
284	"Uau"
285	"Legal"
286	"Legal"
287	"Aqui"
288	"Aqui"
289	"Venha"
290	"Venha"
291	"vamos"
292	"Ali"
293	"Ali"
294	"Isso"
295	"Isso"
296	"Não"
297	"Não"
298	"Nunca"
299	"Nunca"
300	"Não"
301	"Não"
302	"não"
303	"Desculpe"
304	"Desculpe"
305	"Desculpe"
306	"Triste"
307	"Triste"
308	"Chorar"
309	"Chorar"
310	"Hã?"
311	"Puxa"
312	"Haha"
313	"Hehe"
314	"Hoho"
315	"Hoho"
316	"Hihi"
317	"Ótimo"
318	"Ótimo"
319	"Ah, sim"
320	"Ah, sim"
321	"saia daqui"
322	"Vencer"
323	"Vencer"
324	"Vitória"
325	"Vitória"
326	"Dormir"
327	"Dormir"
328	"Cansado"
329	"Cansado"
330	"Frio"
331	"Frio"
332	"dor"
333	"dor"
334	"dor"
335	"Novamente"
336	"Novamente"
337	"OK"
338	"Ótimo"
339	"Respeito"
340	"Respeito"
341	"Derrotado"
342	"Senhor"
343	"Mestre"
344	"Avançar"
345	"Avançar"
346	"Vamos, vamos"
347	"Vamos, vamos"
348	"Olhe ao redor"
349	""
350	"Somente personagens acima do nível %d podem entrar."
351	"Flechas: %d (%d)"
352	"Bestas: %d (%d)"
353	"Anjo Guardião"
354	"Dinorant"
355	"Uniria"
356	"HP do Monstro Invocado"
357	"EXP: %u/%u"
358	"Vida: %u/%u"
359	"Mana: %u/%u"
360	"AG: %u"
361	"Grupo (P)"
362	"Personagem (C)"
363	"Inventário (I,V)"
364	"Guilda (G)"
365	"Aviso! Verifique"
366	"o nível do jogador"
367	"e os itens antes de negociar."
368	"Nível"
369	"Cerca de %d"
370	"Aviso!"
371	"Os níveis e opções de alguns itens"
372	"foram alterados durante a troca."
373	"Verifique se o item é"
374	"o mesmo item que você deseja trocar."
375	"O inventário está cheio."
376	"Você deseja usar a fruta?"
377	"(%s)%d pontos de atributo foram adicionados."
378	"Nenhum ponto de atributo foi adicionado."
379	"(%s)%d pontos de atributo foram reduzidos"
380	"Você sairá do jogo em %d segundos."
381	"Sair do Jogo"
382	"Selecionar Servidor"
383	"Trocar Personagem"
384	"Cancelar"
385	"Opção"
386	"Ataque Automático"
387	"Som no Sussurro"
388	"Fechar"
389	""
390	"Digite mais de 4 letras"
391	"Não é possível usar símbolos."
392	"Palavras restritas estão"
393	"incluídas."
394	"Nome de personagem inválido"
395	"ou o nome informado já existe."
396	"Não é possível criar mais personagens."
397	"Se quiser removê-lo"
398	"você deve informar seu número de identificação pessoal."
399	"Você não pode excluir personagens"
400	"acima do nível 220."
401	"Você informou um número de identificação pessoal inválido."
402	"Você foi desconectado do servidor."
403	"Digite sua conta"
404	"Digite sua senha"
405	"É necessária uma nova versão do jogo"
406	"Baixe a nova versão"
407	"A senha está incorreta"
408	"Erro de conexão"
409	"Conexão encerrada após 3 tentativas malsucedidas."
410	"Seu período de assinatura individual terminou."
411	"Seu tempo de assinatura individual terminou."
412	"O período de assinatura do seu IP terminou."
413	"O tempo de assinatura do seu IP terminou."
414	"Sua conta é inválida"
415	"Sua conta já está conectada"
416	"O servidor está cheio"
417	"Esta conta está bloqueada"
418	"%s"
419	"gostaria de negociar com você."
420	"Digite a quantidade de Zen que deseja depositar."
421	"Digite a quantidade de Zen que deseja retirar."
422	"Digite a quantidade de Zen que deseja trocar."
423	"Você não possui Zen suficiente."
424	"Você não pode negociar mais de 50 milhões de Zen de uma vez"
425	"Alguém solicitou que você entre no grupo"
426	"Desenhe o emblema da sua guilda"
427	"Se quiser sair da sua guilda,"
428	"Digite seu código pessoal."
429	"Você recebeu um convite para entrar em uma guilda."
430	"A guilda %s desafiou você"
431	"para uma Guerra de Guildas."
432	"Você foi desafiado para uma Battle Soccer"
433	"Sem informações de cobrança"
434	"Este personagem está bloqueado"
435	"Somente jogadores maiores de 18 anos podem se conectar a este servidor"
436	"Esta conta está bloqueada para itens."
437	"Verifique no site do MU"
438	"Ocorreu um erro ao excluir este personagem"
439	"O personagem está bloqueado para itens"
440	"Senha incorreta"
441	"O inventário já está bloqueado"
442	"não é permitido usar os mesmos 4 números"
443	"se quiser bloquear o inventário,"
444	"Digite seu código pessoal."
445	"A senha está incorreta"
446	"Nenhum outro atributo será aumentado no seu nível."
447	"Concordo com o acordo acima"
448	"Deseja mover sua conta para o servidor dividido?"
449	"Dissolver ou sair da sua guilda"
450	"Conta"
451	"Senha"
452	"Conectar"
453	"Sair"
454	"(c) Copyright 2001 Webzen."
455	"Todos os direitos reservados."
456	"Versão: %s"
457	"Operação"
458	"WebZen, Inc."
459	"%s: Captura de tela salva"
460	"[Servidor - %s]"
461	"[Servidor - %s]"
462	"1)Após mover sua conta para o servidor dividido,"
463	"você não poderá mover sua conta de volta para o servidor anterior."
464	"2)Após mover sua conta para o servidor dividido,"
465	"todas as informações dos personagens e itens da sua conta"
466	"serão movidos para o servidor dividido"
467	"quando você entrar no servidor dividido."
468	"3)Após mover sua conta para o servidor dividido"
469	"o jogo será fechado automaticamente."
470	"Conectando ao servidor"
471	"Aguarde"
472	"Verificando sua conta"
473	"Aguarde"
474	"Você não pode usar seus itens enquanto estiver usando o armazém ou negociando."
475	"Você solicitou uma troca com %s."
476	"Você solicitou que %s entre no seu grupo."
477	"Você solicitou que %s entre na sua guilda."
478	"Você pode usar o comando de troca no nível 6 do personagem"
479	"Você pode usar o comando de sussurro no nível 6 do personagem"
480	"Empate!!!"
481	"Você está conectado ao servidor"
482	"Nenhum usuário"
483	"[Aviso para membros da guilda] %s"
484	"Bem-vindo a "
485	"De"
486	"Obtido %d de EXP"
487	"Herói"
488	"Plebeu"
489	"Aviso de Fora da Lei"
490	"Fora da Lei - Estágio 1"
491	"Fora da Lei - Estágio 2"
492	"Sua troca foi cancelada."
493	"Você não pode negociar agora."
494	"Estes itens não podem ser negociados."
495	"Sua troca foi cancelada porque seu inventário está cheio."
496	"A solicitação de troca foi cancelada"
497	"Falha ao criar o grupo."
498	"Sua solicitação foi recusada."
499	"O grupo está cheio."
500	"O usuário saiu do jogo."
501	"O usuário já está em outro grupo."
502	"Você acabou de sair do grupo."
503	"O mestre da guilda recusou sua solicitação para entrar na guilda."
504	"Você acabou de entrar na guilda."
505	"A guilda está cheia."
506	"O usuário saiu do jogo."
507	"O usuário não é mestre de guilda."
508	"Você não pode entrar em mais de uma guilda."
509	"O mestre da guilda está ocupado demais para aprovar sua solicitação de entrada na guilda"
510	"Personagens acima do nível 6 podem entrar em uma guilda."
511	"Seu número de identificação pessoal está incorreto."
512	"Você saiu da guilda."
513	"Somente um mestre de guilda pode dissolver uma guilda."
514	"Ocorreu um erro ao excluir a guilda"
515	"A guilda foi dissolvida"
516	"O nome da guilda já existe"
517	"O nome da guilda deve ter entre 2 e 8 letras"
518	"Você já está em uma guilda."
519	"Essa guilda não existe."
520	"Você declarou uma Guerra de Guildas."
521	"O mestre da guilda adversária não está no jogo."
522	"Essa guilda não existe."
523	"Você não pode declarar uma Guerra de Guildas agora."
524	"Somente mestres de guilda podem declarar uma Guerra de Guildas."
525	"Sua solicitação de Guerra de Guildas foi recusada."
526	"Uma Guerra de Guildas contra a guilda %s começou!"
527	"Você perdeu a Guerra de Guildas!!!"
528	"Você venceu a Guerra de Guildas!!!"
