// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// -----------------------------------------------------------
// English
// -----------------------------------------------------------
// Index   Message
// -----------------------------------------------------------
   0       "AUTO ATTACK"
   1       "Camera 3D On"
   2       "Camera 3D Off"
   3       "Camera 3D Restore"
   4       "Monster Health Bar On"
   5       "Monster Health Bar Off"
   6       "Advanced Menu Options"
   7       "Render Options"
   8       "General"
   9       "Resolution"
   10      "Font"
   11      "Floor Map"
   12      "Map Objects"
   13      "Entities"
   14      "Shadows"
   15      "Effects"
   16      "Skill Effects"
   17      "Monster Health Bar"
   18      "Auto Attack Bar"
   19      "Automatic Attack"
   20      "Whisper Sounds"
   21      "Volume"
   22      "Slide Help"
   23      "+Effect limitation"
   24      "%Y-%m-%d %H:%M"
   25      "Expiration Day"
   26      "Reconnecting..."
   27      "Logging in..."
   28      "Waiting character list..."
   29      "Waiting character info..."
   30      "Purchase Price: %s Coin 1"
   31      "Purchase Price: %s Coin 2"
   32      "Purchase Price: %s Coin 3"
   33      "Event Time"
   34      "Disabled"
   35      "%02d day's"
   36      "%02d:%02d:%02d"
   37      "Open now"
   38      "Started"
   39      "Close Window"
   40      "Level: %d | Resets: %d"
   41      "Powered by SSeMU"
   42      "Golden Archer"
   43      "Reward for 10 Renas"
   44      "Reward for 20 Renas"
   45      "Reward for 30 Renas"
   46      "Reward for 50 Renas"
   47      "Reward for 100 Renas"
   48      "Register Rena"
   49      "Registered Rena %d"
   50      "Rena Collected %d"
end

1
// -----------------------------------------------------------
// Portuguese
// -----------------------------------------------------------
// indice   Mensagem
// -----------------------------------------------------------
   0       "ATAQUE AUTOMATICO"
   1       "Câmera 3D Ligada"
   2       "Câmera 3D Desligada"
   3       "Restaurar Câmera 3D"
   4       "Barra de Vida do Monstro Ligada"
   5       "Barra de Vida do Monstro Desligada"
   6       "Opções do Menu Avançado"
   7       "Opções de Renderização"
   8       "Geral"
   9       "Resolução"
   10      "Fonte"
   11      "Mapa de Piso"
   12      "Objetos do Mapa"
   13      "Entidades"
   14      "Sombras"
   15      "Efeitos"
   16      "Efeitos de Habilidade"
   17      "Barra de Vida do Monstro"
   18      "Barra de Ataque Automatico"
   19      "Ataque Automatico"
   20      "Sons de Sussurro"
   21      "Volume"
   22      "Ajuda Deslizante"
   23      "+Limitação de Efeitos"
   24      "%Y-%m-%d %H:%M"
   25      "Dia de Expiração"
   26      "Reconectando..."
   27      "Fazendo Login..."
   28      "Aguardando Lista de Personagens..."
   29      "Aguardando Informações do Personagem..."
   30      "Preço de Compra: %s Moeda 1"
   31      "Preço de Compra: %s Moeda 2"
   32      "Preço de Compra: %s Moeda 3"
   33      "Tempo de Evento"
   34      "Desativado"
   35      "%02d dia(s)"
   36      "%02d:%02d:%02d"
   37      "Aberto Agora"
   38      "Iniciado"
   39      "Fechar Janela"
   40      "Nivel: %d | Resets: %d"
   41      "Powered by SSeMU"
   42      "Arqueiro Dourado"
   43      "Recompensa por 10 Renas"
   44      "Recompensa por 20 Renas"
   45      "Recompensa por 30 Renas"
   46      "Recompensa por 50 Renas"
   47      "Recompensa por 100 Renas"
   48      "Registrar Rena"
   49      "Rena Registrada %d"
   50      "Renas Coletadas %d"
end

2
// -----------------------------------------------------------
// Español
// -----------------------------------------------------------
// indice   Mensaje
// -----------------------------------------------------------
   0       "ATAQUE AUTOMATICO"
   1       "Camara 3D activada"
   2       "Camara 3D desactivada"
   3       "Restaurar camara 3D"
   4       "Barra de vida del monstruo activada"
   5       "Barra de vida del monstruo desactivada"
   6       "Opciones del menu avanzado"
   7       "Opciones de renderizado"
   8       "General"
   9       "Resolucion"
   10      "Fuente"
   11      "Mapa de suelo"
   12      "Objetos del mapa"
   13      "Entidades"
   14      "Sombras"
   15      "Efectos"
   16      "Efectos de habilidades"
   17      "Barra de vida del monstruo"
   18      "Barra de ataque automatico"
   19      "Ataque automatico"
   20      "Sonidos de susurro"
   21      "Volumen"
   22      "Ayuda deslizante"
   23      "+Limitacion de efectos"
   24      "%Y-%m-%d %H:%M"
   25      "Dia de vencimiento"
   26      "Reconectando..."
   27      "Iniciando sesion..."
   28      "Esperando lista de personajes..."
   29      "Esperando informacion de personajes..."
   30      "Precio de compra: %s Moneda 1"
   31      "Precio de compra: %s Moneda 2"
   32      "Precio de compra: %s Moneda 3"
   33      "Tiempo de evento"
   34      "Deshabilitado"
   35      "%02d dia(s)"
   36      "%02d:%02d:%02d"
   37      "Abierto ahora"
   38      "Iniciado"
   39      "Cerrar ventana"
   40      "Nivel: %d | Reinicios: %d"
   41      "Powered by SSeMU"
   42      "Arquero Dorado"
   43      "Recompensa por 10 Renas"
   44      "Recompensa por 20 Renas"
   45      "Recompensa por 30 Renas"
   46      "Recompensa por 50 Renas"
   47      "Recompensa por 100 Renas"
   48      "Registrar Rena"
   49      "Rena Registrada %d"
   50      "Renas Recolectadas %d"
end
