2
// -----------------------------------
// [0~100]    [0~100]     [0~2]
// ItemRate   MoneyDrop   BagUseEffect
// -----------------------------------
   100        0           0
end

3
// --------------------------------
// [0~9]       [0~10000]  [*/N]
// BagIndex    DropRate   MapNumber
// --------------------------------
   0           10000      *
end

4
// ----------------------------------------------------------------------------------
// [0~9]      [5~16]    [0~10000]     [1~255]        [1~255]        [Class 0~2]
// BagIndex   Section   SectionRate   MinDropCount   MaxDropCount   DW   DK   FE   MG
// ----------------------------------------------------------------------------------
   0          5         10000         1              1              1    1    1    1
end

5
// -----------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]              [Level]   [Skill]   [Luck]    [JoL]     [Exc]
// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]        [0~255]      [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [InSec]
// ItemIndex   ItemLevel     GradeCount   Option0   Option1   Option2   Option3   Option4   Duration   Comment
// -----------------------------------------------------------------------------------------------------------
   00,014      0             0            39        *         *         *         *         0          //Lighting Sword [Level: +6~8]
   00,016      0             0            39        *         *         *         *         0          //Sword of Destruction [Level: +6~8]
   02,005      0             0            39        *         *         *         *         0          //Crystal Sword [Level: +6~8]
   00,017      0             0            39        *         *         *         *         0          //Dark Breaker [Level: +6~8]
   00,031      0             0            39        *         *         *         *         0          //Rune Blade [Level: +6~8]
   02,004      0             0            39        *         *         *         *         0          //Crystal Morning Star [Level: +6~8]
   03,009      0             0            39        *         *         *         *         0          //Bill of Balrog [Level: +6~8]
   02,007      0             0            39        *         *         *         *         0          //Elemental Mace [Level: +6~8]
   04,017      0             0            39        *         *         *         *         0          //Celestial Bow [Level: +6~8]
   04,014      0             0            39        *         *         *         *         0          //Aquagold Crossbow [Level: +6~8]
   05,006      0             0            39        *         *         *         *         0          //Staff of Resurrection [Level: +6~8]
   05,008      0             0            39        *         *         *         *         0          //Staff of Destruction [Level: +6~8]
   07,016      0             0            39        *         *         *         *         0          //Black Dragon Helm [Level: +6~8]
