2
// -----------------------------------
// [0~100]    [0~100]     [0~2]
// ItemRate   MoneyDrop   BagUseEffect
// -----------------------------------
   100        0           1
end

3
// --------------------------------
// [0~9]       [0~10000]  [*/N]
// BagIndex    DropRate   MapNumber
// --------------------------------
   0           10000      *
end

4
// ----------------------------------------------------------------------------------
// [0~9]      [5~16]    [0~10000]     [1~255]        [1~255]        [Class 0~2]
// BagIndex   Section   SectionRate   MinDropCount   MaxDropCount   DW   DK   FE   MG
// ----------------------------------------------------------------------------------
   0          5         10000         1              1              1    1    1    1
end

5
// -----------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]              [Level]   [Skill]   [Luck]    [JoL]     [Exc]
// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]        [0~255]      [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [InSec]
// ItemIndex   ItemLevel     GradeCount   Option0   Option1   Option2   Option3   Option4   Duration   Comment
// -----------------------------------------------------------------------------------------------------------
   00,002      9             0            *         *         *         *         *         0          //Rapier [Level: 5]
   00,004      9             0            *         *         *         *         *         0          //Sword of Assassin [Level: 5]
   00,003      9             0            *         *         *         *         *         0          //Katana [Level: 5]
   01,001      9             0            *         *         *         *         *         0          //Hand Axe [Level: 5]
   01,002      9             0            *         *         *         *         *         0          //Double Axe [Level: 5]
   02,000      9             0            *         *         *         *         *         0          //Mace [Level: 5]
   02,001      9             0            *         *         *         *         *         0          //Morning Star [Level: 5]
   04,008      9             0            *         *         *         *         *         0          //Crossbow [Level: 5]
   04,009      9             0            *         *         *         *         *         0          //Golden Crossbow [Level: 5]
   05,000      9             0            *         *         *         *         *         0          //Skull Staff [Level: 5]
   06,004      9             0            *         *         *         *         *         0          //Buckler [Level: 5]
   06,001      9             0            *         *         *         *         *         0          //Horn Shield [Level: 5]
   06,002      9             0            *         *         *         *         *         0          //Kite Shield [Level: 5]
   00,010      9             0            *         *         *         *         *         0          //Light Saber [Level: 5]
   00,011      9             0            *         *         *         *         *         0          //Legendary Sword [Level: 5]
   00,013      9             0            *         *         *         *         *         0          //Double Blade [Level: 5]
   01,005      9             0            *         *         *         *         *         0          //Battle Axe [Level: 5]
   01,006      9             0            *         *         *         *         *         0          //Nikea Axe [Level: 5]
   01,007      9             0            *         *         *         *         *         0          //Larkan Axe [Level: 5]
   02,003      9             0            *         *         *         *         *         0          //Great Hammer [Level: 5]
   03,007      9             0            *         *         *         *         *         0          //Berdysh [Level: 5]
   03,004      9             0            *         *         *         *         *         0          //Serpent Spear [Level: 5]
   04,011      9             0            *         *         *         *         *         0          //Light Crossbow [Level: 5]
   04,004      9             0            *         *         *         *         *         0          //Tiger Bow [Level: 5]
   04,012      9             0            *         *         *         *         *         0          //Serpent Crossbow [Level: 5]
   05,003      9             0            *         *         *         *         *         0          //Thunder Staff [Level: 5]
   06,005      9             0            *         *         *         *         *         0          //Dragon Slayer Shield [Level: 5]
   06,008      9             0            *         *         *         *         *         0          //Tower Shield [Level: 5]
   07,005      9             0            *         *         *         *         *         0          //Leather Helm [Level: 5]
   08,005      9             0            *         *         *         *         *         0          //Leather Armor [Level: 5]
   09,005      9             0            *         *         *         *         *         0          //Leather Pants [Level: 5]
   10,005      9             0            *         *         *         *         *         0          //Leather Gloves [Level: 5]
   11,005      9             0            *         *         *         *         *         0          //Leather Boots [Level: 5]
   07,002      9             0            *         *         *         *         *         0          //Pad Helm [Level: 5]
   08,002      9             0            *         *         *         *         *         0          //Pad Armor [Level: 5]
   09,002      9             0            *         *         *         *         *         0          //Pad Pants [Level: 5]
   10,002      9             0            *         *         *         *         *         0          //Pad Gloves [Level: 5]
   11,002      9             0            *         *         *         *         *         0          //Pad Boots [Level: 5]
   07,000      9             0            *         *         *         *         *         0          //Bronze Helm [Level: 5]
   08,000      9             0            *         *         *         *         *         0          //Bronze Armor [Level: 5]
   09,000      9             0            *         *         *         *         *         0          //Bronze Pants [Level: 5]
   10,000      9             0            *         *         *         *         *         0          //Bronze Gloves [Level: 5]
   11,000      9             0            *         *         *         *         *         0          //Bronze Boots [Level: 5]
   07,012      9             0            *         *         *         *         *         0          //Wind Helm [Level: 5]
   08,012      9             0            *         *         *         *         *         0          //Wind Armor [Level: 5]
   09,012      9             0            *         *         *         *         *         0          //Wind Pants [Level: 5]
   10,012      9             0            *         *         *         *         *         0          //Wind Gloves [Level: 5]
   11,012      9             0            *         *         *         *         *         0          //Wind Boots [Level: 5]
   07,013      9             0            *         *         *         *         *         0          //Spirit Helm [Level: 5]
   08,013      9             0            *         *         *         *         *         0          //Spirit Armor [Level: 5]
   09,013      9             0            *         *         *         *         *         0          //Spirit Pants [Level: 5]
   10,013      9             0            *         *         *         *         *         0          //Spirit Gloves [Level: 5]
   11,013      9             0            *         *         *         *         *         0          //Spirit Boots [Level: 5]
   07,007      9             0            *         *         *         *         *         0          //Sphinx Mask [Level: 5]
   08,007      9             0            *         *         *         *         *         0          //Sphinx Armor [Level: 5]
   09,007      9             0            *         *         *         *         *         0          //Sphinx Pants [Level: 5]
   10,007      9             0            *         *         *         *         *         0          //Sphinx Gloves [Level: 5]
   11,007      9             0            *         *         *         *         *         0          //Sphinx Boots [Level: 5]
   14,013      9             0            *         *         *         *         *         0          //Jewel of Bless
   14,014      9             0            *         *         *         *         *         0          //Jewel of Soul
   12,015      9             0            *         *         *         *         *         0          //Jewel of Chaos
end
