2
// -----------------------------------
// [0~100]    [0~100]     [0~2]
// ItemRate   MoneyDrop   BagUseEffect
// -----------------------------------
   100        0           2
end

3
// --------------------------------
// [0~9]       [0~10000]  [*/N]
// BagIndex    DropRate   MapNumber
// --------------------------------
   0           10000      *
end

4
// ----------------------------------------------------------------------------------
// [0~9]      [5~16]    [0~10000]     [1~255]        [1~255]        [Class 0~2]
// BagIndex   Section   SectionRate   MinDropCount   MaxDropCount   DW   DK   FE   MG
// ----------------------------------------------------------------------------------
   0          5         10000         1              1              1    1    1    1
end

5
// -----------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]              [Level]   [Skill]   [Luck]    [JoL]     [Exc]
// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]        [0~255]      [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [InSec]
// ItemIndex   ItemLevel     GradeCount   Option0   Option1   Option2   Option3   Option4   Duration   Comment
// -----------------------------------------------------------------------------------------------------------
   00,010      7             0            *         *         *         *         *         0          //Light Saber [Level: 3]
   00,011      7             0            *         *         *         *         *         0          //Legendary Sword [Level: 3]
   00,013      7             0            *         *         *         *         *         0          //Double Blade [Level: 3]
   01,007      7             0            *         *         *         *         *         0          //Larkan Axe [Level: 3]
   02,003      7             0            *         *         *         *         *         0          //Great Hammer [Level: 3]
   03,000      7             0            *         *         *         *         *         0          //Light Spear [Level: 3]
   03,004      7             0            *         *         *         *         *         0          //Serpent Spear [Level: 3]
   04,011      7             0            *         *         *         *         *         0          //Light Crossbow [Level: 3]
   04,003      7             0            *         *         *         *         *         0          //Battle Bow [Level: 3]
   05,002      7             0            *         *         *         *         *         0          //Serpent Staff [Level: 3]
   05,003      7             0            *         *         *         *         *         0          //Thunder Staff [Level: 3]
   06,006      7             0            *         *         *         *         *         0          //Skull Shield [Level: 3]
   06,005      7             0            *         *         *         *         *         0          //Dragon Slayer Shield [Level: 3]
   07,006      7             0            *         *         *         *         *         0          //Scale Helm [Level: 3]
   08,006      7             0            *         *         *         *         *         0          //Scale Armor [Level: 3]
   09,006      7             0            *         *         *         *         *         0          //Scale Pants [Level: 3]
   10,006      7             0            *         *         *         *         *         0          //Scale Gloves [Level: 3]
   11,006      7             0            *         *         *         *         *         0          //Scale Boots [Level: 3]
   07,008      7             0            *         *         *         *         *         0          //Brass Helm [Level: 3]
   08,008      7             0            *         *         *         *         *         0          //Brass Armor [Level: 3]
   09,008      7             0            *         *         *         *         *         0          //Brass Pants [Level: 3]
   10,008      7             0            *         *         *         *         *         0          //Brass Gloves [Level: 3]
   11,008      7             0            *         *         *         *         *         0          //Brass Boots [Level: 3]
   07,004      7             0            *         *         *         *         *         0          //Bone Helm [Level: 3]
   08,004      7             0            *         *         *         *         *         0          //Bone Armor [Level: 3]
   09,004      7             0            *         *         *         *         *         0          //Bone Pants [Level: 3]
   10,004      7             0            *         *         *         *         *         0          //Bone Gloves [Level: 3]
   11,004      7             0            *         *         *         *         *         0          //Bone Boots [Level: 3]
   13,000      7             0            *         *         *         *         *         0          //Guardian Angel
   13,001      7             0            *         *         *         *         *         0          //Imp
   13,002      7             0            *         *         *         *         *         0          //Horn of Uniria
   13,008      7             0            *         *         *         *         *         0          //Ring of Ice
   13,009      7             0            *         *         *         *         *         0          //Ring of Poison
   13,012      7             0            *         *         *         *         *         0          //Pendant of Lighting
   13,013      7             0            *         *         *         *         *         0          //Pendant of Fire
   14,013      7             0            *         *         *         *         *         0          //Jewel of Bless
   14,014      7             0            *         *         *         *         *         0          //Jewel of Soul
   12,015      7             0            *         *         *         *         *         0          //Jewel of Chaos
end
