00:07:22 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:07:31 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:10:32 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:11:58 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:12:06 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:16:33 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:19:38 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:20:26 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:20:47 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:21:33 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:21:37 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:22:36 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:22:45 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:24:38 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:52:16 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:52:29 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:53:02 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:54:03 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:54:16 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
00:54:39 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
01:09:39 [AccountInfo] Account connected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
01:09:50 [AccountInfo] Account disconnected (Account: test, IpAddress: 26.49.253.223, GameServerCode: 0)
